Pab1,Pab2,Pab3,Wspd_offset,Wspd,date
0.0,0.0,0.0,0.0,0.0,2024-01-01 00:00:00
1.0,1.0,1.0,0.0,6.17,2024-01-01 00:10:00
1.0,1.0,1.0,0.0,6.27,2024-01-01 00:20:00
1.0,1.0,1.0,0.0,6.42,2024-01-01 00:30:00
1.0,1.0,1.0,1.2279999999999998,6.25,2024-01-01 00:40:00
1.0,1.0,1.0,-0.14200000000000035,6.1,2024-01-01 00:50:00
1.0,1.0,1.0,0.40800000000000036,6.77,2024-01-01 01:00:00
1.0,1.0,1.0,0.2519999999999998,6.7,2024-01-01 01:10:00
1.0,1.0,1.0,-0.011999999999999567,6.44,2024-01-01 01:20:00
1.0,1.0,1.0,-0.20199999999999996,6.25,2024-01-01 01:30:00
1.0,1.0,1.0,0.26400000000000023,6.87,2024-01-01 01:40:00
1.0,1.0,1.0,0.02799999999999958,6.6,2024-01-01 01:50:00
1.0,1.0,1.0,0.13600000000000012,6.71,2024-01-01 02:00:00
1.0,1.0,1.0,0.20200000000000085,6.86,2024-01-01 02:10:00
1.0,1.0,1.0,0.0959999999999992,6.88,2024-01-01 02:20:00
1.0,1.0,1.0,0.2699999999999996,7.1,2024-01-01 02:30:00
1.0,1.0,1.0,0.21799999999999997,7.16,2024-01-01 02:40:00
1.0,1.0,1.0,-0.15999999999999925,6.8,2024-01-01 02:50:00
1.0,1.0,1.0,-0.10800000000000054,6.85,2024-01-01 03:00:00
1.0,1.0,1.0,-0.10200000000000031,6.85,2024-01-01 03:10:00
1.0,1.0,1.0,-0.2759999999999989,6.57,2024-01-01 03:20:00
1.0,1.0,1.0,-0.3259999999999996,6.36,2024-01-01 03:30:00
1.0,1.0,1.0,0.17799999999999994,6.88,2024-01-01 03:40:00
1.0,1.0,1.0,0.5240000000000009,7.32,2024-01-01 03:50:00
1.0,1.0,1.0,0.9099999999999993,7.92,2024-01-01 04:00:00
1.0,1.0,1.0,0.48800000000000043,7.73,2024-01-01 04:10:00
1.0,1.0,1.0,0.798,8.46,2024-01-01 04:20:00
1.0,1.0,1.0,0.7620000000000005,8.81,2024-01-01 04:30:00
1.0,1.0,1.0,0.8000000000000007,9.23,2024-01-01 04:40:00
1.0,1.0,1.0,0.7139999999999986,9.45,2024-01-01 04:50:00
1.0,1.0,1.0,0.33000000000000007,9.4,2024-01-01 05:00:00
1.0,1.0,1.0,0.22199999999999953,9.5,2024-01-01 05:10:00
1.0,1.0,1.0,-0.3719999999999999,8.93,2024-01-01 05:20:00
1.0,1.0,1.0,-0.9840000000000018,8.09,2024-01-01 05:30:00
1.0,1.0,1.0,-0.968,7.77,2024-01-01 05:40:00
1.0,1.0,1.0,-0.4659999999999993,7.99,2024-01-01 05:50:00
1.0,1.0,1.0,-0.1479999999999997,8.01,2024-01-01 06:00:00
1.0,1.0,1.0,0.07600000000000051,8.06,2024-01-01 06:10:00
1.0,1.0,1.0,0.9220000000000006,9.11,2024-01-01 06:20:00
1.01,1.01,1.01,2.1340000000000003,10.96,2024-01-01 06:30:00
1.07,1.07,1.07,3.0199999999999996,12.81,2024-01-01 06:40:00
1.09,1.09,1.09,2.556000000000001,13.43,2024-01-01 06:50:00
1.07,1.07,1.07,1.0020000000000007,12.83,2024-01-01 07:00:00
1.07,1.07,1.07,0.11399999999999899,12.65,2024-01-01 07:10:00
1.06,1.06,1.06,-0.32800000000000296,12.52,2024-01-01 07:20:00
1.08,1.08,1.08,0.3139999999999983,13.25,2024-01-01 07:30:00
1.08,1.08,1.08,0.5339999999999989,13.48,2024-01-01 07:40:00
1.07,1.07,1.07,0.0519999999999996,13.04,2024-01-01 07:50:00
1.07,1.07,1.07,-0.6739999999999995,12.23,2024-01-01 08:00:00
1.06,1.06,1.06,-1.1359999999999992,11.58,2024-01-01 08:10:00
1.04,1.04,1.04,-1.097999999999999,11.21,2024-01-01 08:20:00
1.03,1.03,1.03,-0.9400000000000013,10.84,2024-01-01 08:30:00
1.03,1.03,1.03,-0.34800000000000075,11.03,2024-01-01 08:40:00
1.07,1.07,1.07,0.8520000000000003,12.23,2024-01-01 08:50:00
1.07,1.07,1.07,0.6899999999999995,12.19,2024-01-01 09:00:00
1.1,1.1,1.1,1.5500000000000007,13.51,2024-01-01 09:10:00
1.06,1.06,1.06,-0.2480000000000011,11.93,2024-01-01 09:20:00
1.04,1.04,1.04,-0.9239999999999977,11.31,2024-01-01 09:30:00
1.05,1.05,1.05,-0.5399999999999991,11.56,2024-01-01 09:40:00
1.04,1.04,1.04,-0.5180000000000007,11.43,2024-01-01 09:50:00
1.04,1.04,1.04,-0.2140000000000022,11.29,2024-01-01 10:00:00
1.02,1.02,1.02,-0.2220000000000013,11.12,2024-01-01 10:10:00
1.01,1.01,1.01,-0.7200000000000006,10.45,2024-01-01 10:20:00
1.0,1.0,1.0,-1.17,9.61,2024-01-01 10:30:00
1.0,1.0,1.0,-1.1579999999999995,9.17,2024-01-01 10:40:00
1.0,1.0,1.0,-1.701999999999999,7.96,2024-01-01 10:50:00
1.0,1.0,1.0,-0.47000000000000064,8.71,2024-01-01 11:00:00
1.0,1.0,1.0,-0.5139999999999993,8.22,2024-01-01 11:10:00
1.0,1.0,1.0,-0.34800000000000075,8.08,2024-01-01 11:20:00
1.0,1.0,1.0,-0.6339999999999995,7.45,2024-01-01 11:30:00
1.11,1.11,1.11,-0.9640000000000004,6.91,2024-01-01 11:40:00
1.0,1.0,1.0,-0.33200000000000074,7.25,2024-01-01 11:50:00
1.0,1.0,1.0,0.1819999999999995,7.65,2024-01-01 12:00:00
1.0,1.0,1.0,0.2759999999999998,7.66,2024-01-01 12:10:00
1.0,1.0,1.0,0.14599999999999902,7.55,2024-01-01 12:20:00
1.0,1.0,1.0,-1.0700000000000003,6.19,2024-01-01 12:30:00
1.0,1.0,1.0,0.22999999999999954,7.55,2024-01-01 12:40:00
1.0,1.0,1.0,-0.1979999999999995,6.99,2024-01-01 12:50:00
1.0,1.0,0.99,-0.5999999999999996,6.32,2024-01-01 13:00:00
0.99,0.99,0.99,-0.7460000000000004,5.83,2024-01-01 13:10:00
1.12,1.12,1.12,-0.2820000000000009,6.32,2024-01-01 13:20:00
1.0,1.0,1.0,-0.3719999999999999,5.9,2024-01-01 13:30:00
1.67,1.67,1.67,-0.3860000000000001,5.61,2024-01-01 13:40:00
1.86,1.86,1.86,-0.15600000000000058,5.72,2024-01-01 13:50:00
1.9,1.9,1.9,-0.13400000000000034,5.72,2024-01-01 14:00:00
1.9,1.9,1.9,-1.4140000000000001,3.97,2024-01-01 14:10:00
1.9,1.9,1.9,-1.604000000000001,3.25,2024-01-01 14:20:00
1.9,1.9,1.9,1.3399999999999999,6.34,2024-01-01 14:30:00
1.9,1.9,1.9,0.0,4.82,2024-01-01 14:40:00
1.9,1.9,1.9,-0.6600000000000006,3.77,2024-01-01 14:50:00
1.9,1.9,1.9,1.0280000000000005,5.83,2024-01-01 15:00:00
0.93,0.93,0.93,-4.151999999999999,0.0,2024-01-01 15:10:00
0.94,0.94,0.94,-2.884,0.0,2024-01-01 15:20:00
1.88,1.88,1.88,1.9360000000000004,4.82,2024-01-01 15:30:00
1.75,1.75,1.75,0.021999999999999797,2.69,2024-01-01 15:40:00
1.9,1.9,1.9,3.45,6.19,2024-01-01 15:50:00
1.75,1.75,1.75,0.5959999999999996,4.17,2024-01-01 16:00:00
1.9,1.9,1.9,-0.21399999999999952,4.2,2024-01-01 16:10:00
1.07,1.07,1.07,0.46199999999999974,4.89,2024-01-01 16:20:00
1.0,1.0,1.0,-0.4660000000000002,4.28,2024-01-01 16:30:00
0.99,0.99,0.99,0.7640000000000002,5.34,2024-01-01 16:40:00
0.99,0.99,0.99,-1.9899999999999998,2.19,2024-01-01 16:50:00
1.73,1.73,1.73,-0.11599999999999966,4.03,2024-01-01 17:00:00
0.99,0.99,0.99,0.2240000000000002,4.24,2024-01-01 17:10:00
0.99,0.99,0.99,-0.6160000000000001,3.18,2024-01-01 17:20:00
0.99,0.99,0.99,0.5760000000000001,4.13,2024-01-01 17:30:00
0.99,0.99,0.99,-0.06000000000000005,3.82,2024-01-01 17:40:00
0.99,0.99,0.99,-0.4340000000000006,3.3,2024-01-01 17:50:00
1.01,1.01,1.01,-0.7500000000000004,2.67,2024-01-01 18:00:00
0.99,0.99,0.99,0.8000000000000007,4.48,2024-01-01 18:10:00
0.99,0.99,0.99,0.4500000000000002,4.13,2024-01-01 18:20:00
0.99,0.99,0.99,0.08400000000000052,3.75,2024-01-01 18:30:00
0.99,0.99,0.99,0.09799999999999986,3.88,2024-01-01 18:40:00
0.99,0.99,0.99,-0.18400000000000016,3.83,2024-01-01 18:50:00
0.99,0.99,0.99,0.7620000000000005,4.85,2024-01-01 19:00:00
0.99,0.99,0.99,-0.3820000000000001,3.6,2024-01-01 19:10:00
0.99,0.99,0.99,0.28800000000000026,4.4,2024-01-01 19:20:00
0.99,0.99,0.99,0.5119999999999996,4.81,2024-01-01 19:30:00
0.99,0.99,0.99,0.8119999999999994,5.43,2024-01-01 19:40:00
0.99,0.99,0.99,1.1360000000000001,5.98,2024-01-01 19:50:00
1.03,1.03,1.03,4.588,10.89,2024-01-01 20:00:00
1.05,1.05,1.05,4.274,12.12,2024-01-01 20:10:00
1.02,1.02,1.02,1.8599999999999994,10.93,2024-01-01 20:20:00
1.05,1.05,1.05,1.4319999999999986,11.77,2024-01-01 20:30:00
1.02,1.02,1.02,-0.5419999999999998,10.75,2024-01-01 20:40:00
1.03,1.03,1.03,-0.1379999999999999,11.22,2024-01-01 20:50:00
1.01,1.01,1.01,-0.39000000000000057,10.68,2024-01-01 21:00:00
1.0,1.0,1.0,-1.3559999999999999,9.41,2024-01-01 21:10:00
1.05,1.05,1.05,0.7479999999999993,11.45,2024-01-01 21:20:00
1.07,1.07,1.07,1.2400000000000002,12.24,2024-01-01 21:30:00
1.07,1.07,1.07,1.2040000000000006,12.45,2024-01-01 21:40:00
1.08,1.08,1.08,1.1059999999999999,12.77,2024-01-01 21:50:00
1.08,1.08,1.08,0.5300000000000011,12.89,2024-01-01 22:00:00
1.1,1.1,1.1,0.7219999999999995,13.49,2024-01-01 22:10:00
1.1,1.1,1.1,0.5920000000000023,13.64,2024-01-01 22:20:00
1.08,1.08,1.08,-0.37400000000000233,12.73,2024-01-01 22:30:00
1.03,1.03,1.03,-1.758000000000001,10.99,2024-01-01 22:40:00
1.01,1.01,1.01,-2.058,10.14,2024-01-01 22:50:00
1.0,1.0,1.0,-1.3640000000000008,10.17,2024-01-01 23:00:00
1.02,1.02,1.02,-0.8460000000000001,9.95,2024-01-01 23:10:00
1.08,1.08,1.08,1.509999999999998,12.2,2024-01-01 23:20:00
1.08,1.08,1.08,1.636000000000001,12.66,2024-01-01 23:30:00
1.08,1.08,1.08,1.0680000000000014,12.58,2024-01-01 23:40:00
1.01,1.01,1.01,-1.5180000000000007,9.95,2024-01-01 23:50:00
1.01,1.01,1.01,-0.9659999999999993,10.64,2024-01-02 00:00:00
1.0,1.0,1.0,-3.565999999999999,7.0,2024-01-02 00:10:00
0.99,0.99,0.99,-3.338,5.87,2024-01-02 00:20:00
0.99,0.99,0.99,-3.492,4.0,2024-01-02 00:30:00
0.99,0.99,0.99,-2.2779999999999996,4.03,2024-01-02 00:40:00
0.99,0.99,0.99,-1.412,3.46,2024-01-02 00:50:00
0.99,0.99,0.99,-0.30400000000000027,3.96,2024-01-02 01:00:00
0.99,0.99,0.99,0.6139999999999999,4.63,2024-01-02 01:10:00
0.99,0.99,0.99,1.104,5.4,2024-01-02 01:20:00
0.99,0.99,0.99,0.2940000000000005,4.73,2024-01-02 01:30:00
0.99,0.99,0.99,-0.20000000000000018,4.43,2024-01-02 01:40:00
0.99,0.99,0.99,0.041999999999999815,4.85,2024-01-02 01:50:00
1.0,1.0,1.0,0.23000000000000043,5.14,2024-01-02 02:00:00
0.99,0.99,0.99,-0.8700000000000001,3.7,2024-01-02 02:10:00
0.99,0.99,0.99,0.27199999999999935,4.87,2024-01-02 02:20:00
0.99,0.99,0.99,0.8160000000000007,5.66,2024-01-02 02:30:00
0.99,0.99,0.99,0.5419999999999998,5.52,2024-01-02 02:40:00
0.99,0.99,0.99,0.6420000000000003,5.74,2024-01-02 02:50:00
0.99,0.99,0.99,0.19399999999999995,5.69,2024-01-02 03:00:00
0.99,0.99,0.99,-0.025999999999998913,5.62,2024-01-02 03:10:00
0.99,0.99,0.99,0.20599999999999952,5.9,2024-01-02 03:20:00
0.99,0.99,0.99,0.09799999999999986,5.86,2024-01-02 03:30:00
0.99,0.99,0.99,-1.2780000000000005,4.17,2024-01-02 03:40:00
1.0,1.0,1.0,2.7219999999999995,8.79,2024-01-02 03:50:00
1.0,1.0,1.0,2.6240000000000006,9.46,2024-01-02 04:00:00
1.0,1.0,1.0,1.4239999999999995,8.85,2024-01-02 04:10:00
1.0,1.0,1.0,-0.758,6.87,2024-01-02 04:20:00
0.99,0.99,0.99,-2.234,5.7,2024-01-02 04:30:00
1.0,1.0,1.0,-0.6080000000000005,6.96,2024-01-02 04:40:00
1.0,1.0,1.0,-0.012000000000000455,7.08,2024-01-02 04:50:00
1.0,1.0,1.0,0.5259999999999989,7.31,2024-01-02 05:00:00
1.0,1.0,1.0,1.4859999999999989,8.62,2024-01-02 05:10:00
1.0,1.0,1.0,1.4379999999999997,9.29,2024-01-02 05:20:00
1.0,1.0,1.0,0.06800000000000139,8.16,2024-01-02 05:30:00
1.0,1.0,1.0,-0.9879999999999987,7.11,2024-01-02 05:40:00
1.0,1.0,1.0,0.5000000000000018,8.92,2024-01-02 05:50:00
1.0,1.0,1.0,0.8480000000000008,9.43,2024-01-02 06:00:00
1.0,1.0,1.0,-0.02800000000000047,8.37,2024-01-02 06:10:00
1.0,1.0,1.0,-0.2940000000000005,8.09,2024-01-02 06:20:00
1.0,1.0,1.0,-1.258,7.13,2024-01-02 06:30:00
1.0,1.0,1.0,-1.3639999999999999,6.55,2024-01-02 06:40:00
1.0,1.0,1.0,-0.8040000000000003,6.53,2024-01-02 06:50:00
1.0,1.0,1.0,-0.532,6.41,2024-01-02 07:00:00
1.0,1.0,1.0,0.17200000000000149,6.87,2024-01-02 07:10:00
1.0,1.0,1.0,0.6160000000000005,7.36,2024-01-02 07:20:00
1.0,1.0,1.0,0.15799999999999947,6.99,2024-01-02 07:30:00
1.0,1.0,1.0,0.07399999999999984,7.0,2024-01-02 07:40:00
1.0,1.0,1.0,-0.02800000000000047,7.02,2024-01-02 07:50:00
1.0,1.0,1.0,-0.6660000000000004,6.26,2024-01-02 08:00:00
1.0,1.0,1.0,-0.5179999999999998,6.17,2024-01-02 08:10:00
1.0,1.0,1.0,0.10200000000000031,6.74,2024-01-02 08:20:00
1.0,1.0,1.0,-0.23799999999999955,6.25,2024-01-02 08:30:00
0.99,0.99,0.99,-0.548,5.67,2024-01-02 08:40:00
1.0,1.0,1.0,0.03399999999999981,6.25,2024-01-02 08:50:00
1.0,1.0,1.0,0.8499999999999996,7.29,2024-01-02 09:00:00
1.0,1.0,1.0,0.8679999999999994,7.45,2024-01-02 09:10:00
1.0,1.0,1.0,-0.516,6.02,2024-01-02 09:20:00
0.99,0.99,0.99,-0.8259999999999996,5.72,2024-01-02 09:30:00
1.0,1.0,1.0,0.2400000000000002,6.92,2024-01-02 09:40:00
1.0,1.0,1.0,0.08199999999999985,6.63,2024-01-02 09:50:00
1.0,1.0,1.0,0.20599999999999952,6.58,2024-01-02 10:00:00
1.0,1.0,1.0,-0.11399999999999988,6.32,2024-01-02 10:10:00
1.0,1.0,1.0,0.05399999999999938,6.68,2024-01-02 10:20:00
1.0,1.0,1.0,-0.16999999999999993,6.34,2024-01-02 10:30:00
1.0,1.0,1.0,0.10400000000000009,6.61,2024-01-02 10:40:00
0.99,0.99,0.99,-0.5179999999999998,5.84,2024-01-02 10:50:00
0.99,0.99,0.99,-0.5419999999999998,5.69,2024-01-02 11:00:00
1.0,1.0,1.0,0.4240000000000004,6.65,2024-01-02 11:10:00
1.0,1.0,1.0,0.5539999999999994,6.89,2024-01-02 11:20:00
1.0,1.0,1.0,0.242,6.57,2024-01-02 11:30:00
0.99,0.99,0.99,-1.3360000000000003,4.78,2024-01-02 11:40:00
0.99,0.99,0.99,-0.08999999999999986,6.11,2024-01-02 11:50:00
